week_start_date,cases,filled_missing_week,district,disease,is_forecast_week,data_source
2014-11-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-11-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-11-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-11-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-12-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-12-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-12-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-12-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2014-12-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-01-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-01-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-01-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-01-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-02-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-02-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-02-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-02-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-03-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-03-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-03-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-03-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-03-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-04-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-04-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-04-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-04-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-05-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-05-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-05-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-05-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-06-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-06-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-06-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-06-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-06-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-07-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-07-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-07-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-07-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-08-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-08-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-08-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-08-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-08-31,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-09-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-09-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-09-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-09-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-10-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-10-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-10-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-10-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-11-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-11-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-11-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-11-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-11-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-12-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-12-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-12-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2015-12-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-01-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-01-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-01-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-01-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-02-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-02-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-02-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-02-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-02-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-03-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-03-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-03-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-03-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-04-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-04-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-04-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-04-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-05-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-05-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-05-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-05-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-05-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-06-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-06-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-06-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-06-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-07-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-07-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-07-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-07-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-08-01,160.0,0,Solapur,Acute diarrhoeal disease,0,historical
2016-08-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-08-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-08-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-08-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-09-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-09-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-09-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-09-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-10-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-10-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-10-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-10-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-10-31,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-11-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-11-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-11-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-11-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-12-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-12-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-12-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2016-12-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-01-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-01-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-01-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-01-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-01-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-02-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-02-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-02-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-02-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-03-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-03-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-03-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-03-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-04-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-04-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-04-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-04-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-05-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-05-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-05-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-05-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-05-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-06-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-06-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-06-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-06-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-07-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-07-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-07-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-07-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-07-31,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-08-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-08-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-08-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-08-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-09-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-09-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-09-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-09-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-10-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-10-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-10-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-10-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-10-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-11-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-11-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-11-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-11-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-12-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-12-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-12-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2017-12-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-01-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-01-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-01-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-01-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-01-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-02-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-02-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-02-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-02-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-03-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-03-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-03-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-03-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-04-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-04-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-04-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-04-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-04-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-05-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-05-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-05-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-05-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-06-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-06-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-06-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-06-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-07-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-07-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-07-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-07-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-07-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-08-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-08-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-08-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-08-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-09-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-09-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-09-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-09-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-10-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-10-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-10-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-10-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-10-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-11-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-11-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-11-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-11-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-12-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-12-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-12-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-12-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2018-12-31,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-01-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-01-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-01-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-01-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-02-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-02-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-02-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-02-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-03-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-03-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-03-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-03-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-04-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-04-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-04-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-04-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-04-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-05-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-05-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-05-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-05-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-06-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-06-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-06-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-06-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-07-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-07-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-07-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-07-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-07-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-08-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-08-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-08-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-08-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-09-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-09-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-09-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-09-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-09-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-10-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-10-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-10-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-10-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-11-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-11-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-11-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-11-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-12-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-12-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-12-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-12-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2019-12-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-01-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-01-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-01-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-01-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-02-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-02-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-02-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-02-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-03-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-03-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-03-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-03-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-03-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-04-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-04-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-04-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-04-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-05-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-05-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-05-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-05-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-06-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-06-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-06-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-06-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-06-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-07-06,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-07-13,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-07-20,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-07-27,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-08-03,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-08-10,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-08-17,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-08-24,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-08-31,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-09-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-09-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-09-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-09-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-10-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-10-12,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-10-19,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-10-26,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-11-02,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-11-09,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-11-16,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-11-23,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-11-30,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-12-07,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-12-14,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-12-21,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2020-12-28,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-01-04,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-01-11,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-01-18,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-01-25,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-02-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-02-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-02-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-02-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-03-01,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-03-08,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-03-15,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-03-22,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-03-29,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
2021-04-05,0.0,1,Solapur,Acute diarrhoeal disease,0,historical
